experiment,sweep_variable,sweep_value,method,metric,mean,std,sem,n_seeds,n_frames
phase_rmse_vs_fd,frame_duration_us,1000.0,GN-6,Phase_RMSE,0.5284193953816331,0.9006911632088198,0.16444295581167925,30,100
phase_rmse_vs_fd,frame_duration_us,1000.0,DU-tun-6,Phase_RMSE,0.24271424951131906,0.6148392092100383,0.11225376804099202,30,100
thz_phase_sensitivity,fc_GHz,10,EKF,Phase_RMSE,0.1835189966373041,0.1853460094369496,0.04144462764593368,20,100
thz_phase_sensitivity,fc_GHz,10,IEKF-4,Phase_RMSE,0.08662419706905163,0.08807311912666489,0.01969374813576596,20,100
thz_phase_sensitivity,fc_GHz,10,GN-6,Phase_RMSE,0.057270979811652876,0.060108829734030554,0.013440742933325292,20,100
thz_phase_sensitivity,fc_GHz,10,DU-tun-6,Phase_RMSE,0.04397224132686817,0.0030268861153230275,0.0006768323114012557,20,100
thz_phase_sensitivity,fc_GHz,60,EKF,Phase_RMSE,0.6483766495869536,0.290719101088903,0.06500676723924202,20,100
thz_phase_sensitivity,fc_GHz,60,IEKF-4,Phase_RMSE,0.23543117161299065,0.1412115681316071,0.03157586655516164,20,100
thz_phase_sensitivity,fc_GHz,60,GN-6,Phase_RMSE,0.10222168375460354,0.09646674956728402,0.021570620960089548,20,100
thz_phase_sensitivity,fc_GHz,60,DU-tun-6,Phase_RMSE,0.05577840406016663,0.03556116874575054,0.007951719067483914,20,100
thz_phase_sensitivity,fc_GHz,100,EKF,Phase_RMSE,0.874478573857626,0.19044281648041889,0.042584308347673384,20,100
thz_phase_sensitivity,fc_GHz,100,IEKF-4,Phase_RMSE,0.30406198042253957,0.13028220904279592,0.029131987567852947,20,100
thz_phase_sensitivity,fc_GHz,100,GN-6,Phase_RMSE,0.14298738565823318,0.09393219524259287,0.021003877383822,20,100
thz_phase_sensitivity,fc_GHz,100,DU-tun-6,Phase_RMSE,0.07106072859895265,0.060382233540382316,0.013501877882956264,20,100
thz_phase_sensitivity,fc_GHz,300,EKF,Phase_RMSE,1.50206774327901,0.3693991843487017,0.08260016870366733,20,100
thz_phase_sensitivity,fc_GHz,300,IEKF-4,Phase_RMSE,0.7245656858871692,0.41904266913229204,0.09370078936527577,20,100
thz_phase_sensitivity,fc_GHz,300,GN-6,Phase_RMSE,0.307664998213808,0.10609976977549233,0.023724629761507843,20,100
thz_phase_sensitivity,fc_GHz,300,DU-tun-6,Phase_RMSE,0.16546763838225692,0.10384586848885595,0.023220642112358525,20,100
